util,avg,calc
0.1,0.008599538383306923,0.00044444444444444447
0.2,0.009095864656202733,0.001
0.3,0.00978863621296566,0.0017142857142857144
0.4,0.011301172966207038,0.002666666666666667
0.5,0.011932357710315696,0.004
0.6,0.016306628774227776,0.005999999999999999
0.7,0.018182629133459593,0.009333333333333332
0.8,0.01985656268737618,0.016000000000000004
0.84,0.03562343936420757,0.020999999999999998
0.88,0.033606761095996196,0.029333333333333336
0.9,0.031134736129579454,0.03600000000000001
0.92,0.02976884431306615,0.04600000000000003
0.94,0.06102320532653513,0.0626666666666666
0.96,0.047775955297037785,0.09599999999999992
0.98,0.2600483391623318,0.19599999999999984
